dataset,model,fname,ACC,iou,iouA,iouB,dice,DSC,model_
Hepatic Artery Branch,cGAN+MT2F-CLR,13_39_34560_55296_real_B_a.png,0.805603027,0.666497544,0.71811041,0.614884677,0.402801514,0.835930457,0
Hepatic Artery Branch,cGAN+MT2F-CLR,13_39_34560_55296_real_B_b.png,0.717956543,0.559043788,0.538407751,0.579679825,0.358978271,0.699954548,0
Hepatic Artery Branch,cGAN+MT2F-CLR,13_39_34560_55296_real_B_c.png,0.773483276,0.628235145,0.658098989,0.5983713,0.386741638,0.793799397,0
Hepatic Artery Branch,cGAN+MT2F-CLR,13_39_34560_55296_real_B_d.png,0.835205078,0.692423087,0.779438794,0.60540738,0.417602539,0.876050131,0
Hepatic Artery Branch,cGAN+MT2F-CLR,13_39_36608_64000_real_B_a.png,0.799728394,0.60808908,0.457061306,0.759116854,0.399864197,0.627374159,0
Hepatic Artery Branch,cGAN+MT2F-CLR,13_39_36608_64000_real_B_b.png,0.94833374,0.603956509,0.260537235,0.947375783,0.47416687,0.413374913,0
Hepatic Artery Branch,cGAN+MT2F-CLR,13_39_36608_64000_real_B_c.png,0.727752686,0.563680561,0.50335421,0.624006912,0.363876343,0.669641535,0
Hepatic Artery Branch,cGAN+MT2F-CLR,13_39_36608_64000_real_B_d.png,0.832443237,0.705195399,0.657293552,0.753097246,0.416221619,0.793213189,0
Hepatic Artery Branch,cGAN+MT2F-CLR,13_39_36608_65024_real_B_a.png,0.790344238,0.60761095,0.74159818,0.473623721,0.395172119,0.851629484,0
Hepatic Artery Branch,cGAN+MT2F-CLR,13_39_36608_65024_real_B_b.png,0.792510986,0.645196208,0.708047063,0.582345353,0.396255493,0.829072077,0
Hepatic Artery Branch,cGAN+MT2F-CLR,13_39_36608_65024_real_B_c.png,0.789306641,0.639402999,0.706655903,0.572150095,0.39465332,0.828117609,0
Hepatic Artery Branch,cGAN+MT2F-CLR,13_39_36608_65024_real_B_d.png,0.746688843,0.59527913,0.581142453,0.609415806,0.373344421,0.735091835,0
Hepatic Artery Branch,cGAN+MT2F-CLR,1_41_30464_60672_real_B_a.png,0.802734375,0.635603706,0.522881606,0.748325806,0.401367188,0.686700271,0
Hepatic Artery Branch,cGAN+MT2F-CLR,1_41_30464_60672_real_B_b.png,0.696731567,0.491158264,0.34247527,0.639841258,0.348365784,0.510214643,0
Hepatic Artery Branch,cGAN+MT2F-CLR,1_41_30464_60672_real_B_c.png,0.890106201,0.630488728,0.378763047,0.882214408,0.445053101,0.549424424,0
Hepatic Artery Branch,cGAN+MT2F-CLR,1_41_30464_60672_real_B_d.png,0.800338745,0.536434625,0.290285838,0.782583411,0.400169373,0.449955862,0
