dataset,model,fname,ACC,iou,iouA,iouB,dice,DSC,model_
Portal Vein Branch,cGAN+MT2F-CLR,13_39_33536_27648_real_B_a.png,0.883865356,0.758594059,0.668928618,0.8482595,0.441932678,0.801626398,0
Portal Vein Branch,cGAN+MT2F-CLR,13_39_33536_27648_real_B_b.png,0.831680298,0.710788458,0.72839415,0.693182766,0.415840149,0.842856532,0
Portal Vein Branch,cGAN+MT2F-CLR,13_39_33536_27648_real_B_c.png,0.934143066,0.549228653,0.165183752,0.933273554,0.467071533,0.283532537,0
Portal Vein Branch,cGAN+MT2F-CLR,13_39_33536_27648_real_B_d.png,0.908859253,0.532177472,0.157070279,0.907284665,0.454429626,0.271496524,0
Portal Vein Branch,cGAN+MT2F-CLR,13_39_34560_34816_real_B_a.png,0.789886475,0.652550873,0.660603372,0.644498374,0.394943237,0.795618488,0
Portal Vein Branch,cGAN+MT2F-CLR,13_39_34560_34816_real_B_b.png,0.967453003,0.539469759,0.111620158,0.96731936,0.483726501,0.200824279,0
Portal Vein Branch,cGAN+MT2F-CLR,13_39_34560_34816_real_B_c.png,0.92036438,0.825007813,0.755676232,0.894339393,0.46018219,0.8608378,0
Portal Vein Branch,cGAN+MT2F-CLR,13_39_34560_34816_real_B_d.png,0.83354187,0.665069604,0.536280553,0.793858655,0.416770935,0.698154451,0
Portal Vein Branch,cGAN+MT2F-CLR,13_39_36608_82944_real_B_a.png,0.896682739,0.63971427,0.39005495,0.889373591,0.44834137,0.561207958,0
Portal Vein Branch,cGAN+MT2F-CLR,13_39_36608_82944_real_B_b.png,0.966064453,0.54481027,0.123719464,0.965901076,0.483032227,0.220196353,0
Portal Vein Branch,cGAN+MT2F-CLR,13_39_36608_82944_real_B_c.png,0.901412964,0.770137911,0.877752971,0.662522852,0.450706482,0.934897172,0
Portal Vein Branch,cGAN+MT2F-CLR,13_39_36608_82944_real_B_d.png,0.900283813,0.757925744,0.636682048,0.87916944,0.450141907,0.778015558,0
Portal Vein Branch,cGAN+MT2F-CLR,1_41_30976_47872_real_B_a.png,0.79447937,0.617768115,0.492176601,0.743359628,0.397239685,0.659676074,0
Portal Vein Branch,cGAN+MT2F-CLR,1_41_30976_47872_real_B_b.png,0.958999634,0.532460089,0.106121091,0.958799086,0.479499817,0.191879699,0
Portal Vein Branch,cGAN+MT2F-CLR,1_41_30976_47872_real_B_c.png,0.920700073,0.557264663,0.195386283,0.919143044,0.460350037,0.326900661,0
Portal Vein Branch,cGAN+MT2F-CLR,1_41_30976_47872_real_B_d.png,0.973007202,0.602161832,0.231537793,0.972785871,0.486503601,0.376014109,0
Portal Vein Branch,cGAN+MT2F-CLR,1_41_31488_34048_real_B_a.png,0.923141479,0.537961997,0.153871997,0.922051996,0.46157074,0.266705488,0
Portal Vein Branch,cGAN+MT2F-CLR,1_41_31488_34048_real_B_b.png,0.840240479,0.61467969,0.408975445,0.820383936,0.420120239,0.580528846,0
Portal Vein Branch,cGAN+MT2F-CLR,1_41_31488_34048_real_B_c.png,0.754257202,0.594061855,0.526016834,0.662106875,0.377128601,0.689398469,0
Portal Vein Branch,cGAN+MT2F-CLR,1_41_31488_34048_real_B_d.png,0.886016846,0.673510221,0.474054777,0.872965665,0.443008423,0.643198319,0
Portal Vein Branch,cGAN+MT2F-CLR,1_41_34048_8960_real_B_a.png,0.785003662,0.644194643,0.670201063,0.618188223,0.392501831,0.80253938,0
Portal Vein Branch,cGAN+MT2F-CLR,1_41_34048_8960_real_B_b.png,0.86605835,0.46469313,0.064578005,0.864808255,0.433029175,0.121321321,0
Portal Vein Branch,cGAN+MT2F-CLR,1_41_34048_8960_real_B_c.png,0.715011597,0.543564187,0.620208634,0.46691974,0.357505798,0.765591074,0
Portal Vein Branch,cGAN+MT2F-CLR,1_41_34048_8960_real_B_d.png,0.85848999,0.718020987,0.620042609,0.815999365,0.429244995,0.765464569,0
Portal Vein Branch,cGAN+MT2F-CLR,1_41_34048_9472_real_B_a.png,0.844726563,0.663109186,0.511661388,0.814556985,0.422363281,0.676952381,0
Portal Vein Branch,cGAN+MT2F-CLR,1_41_34048_9472_real_B_b.png,0.73538208,0.576879157,0.532636231,0.621122083,0.36769104,0.695058906,0
Portal Vein Branch,cGAN+MT2F-CLR,1_41_34048_9472_real_B_c.png,0.906768799,0.555268844,0.206081081,0.904456607,0.453384399,0.341736695,0
Portal Vein Branch,cGAN+MT2F-CLR,1_41_34048_9472_real_B_d.png,0.780715942,0.578924052,0.418154581,0.739693523,0.390357971,0.589716504,0
Portal Vein Branch,cGAN+MT2F-UNET,13_39_33536_27648_real_B_a.png,0.87689209,0.743542887,0.645829675,0.841256099,0.438446045,0.784807426,1
Portal Vein Branch,cGAN+MT2F-UNET,13_39_33536_27648_real_B_b.png,0.821884155,0.697014286,0.710627433,0.683401139,0.410942078,0.830838345,1
Portal Vein Branch,cGAN+MT2F-UNET,13_39_33536_27648_real_B_c.png,0.932739258,0.55036802,0.16892911,0.931806931,0.466369629,0.289032258,1
Portal Vein Branch,cGAN+MT2F-UNET,13_39_33536_27648_real_B_d.png,0.907119751,0.532068434,0.158673117,0.905463751,0.453559875,0.27388763,1
Portal Vein Branch,cGAN+MT2F-UNET,13_39_34560_34816_real_B_a.png,0.783508301,0.644000528,0.649046429,0.638954628,0.39175415,0.787177872,1
Portal Vein Branch,cGAN+MT2F-UNET,13_39_34560_34816_real_B_b.png,0.966323853,0.537414014,0.108642973,0.966185055,0.483161926,0.195992714,1
Portal Vein Branch,cGAN+MT2F-UNET,13_39_34560_34816_real_B_c.png,0.918640137,0.821146686,0.749906191,0.89238718,0.459320068,0.857081591,1
Portal Vein Branch,cGAN+MT2F-UNET,13_39_34560_34816_real_B_d.png,0.830566406,0.659136429,0.527167433,0.791105426,0.415283203,0.690385902,1
Portal Vein Branch,cGAN+MT2F-UNET,13_39_36608_82944_real_B_a.png,0.891906738,0.625671451,0.366651766,0.884691137,0.445953369,0.53656941,1
Portal Vein Branch,cGAN+MT2F-UNET,13_39_36608_82944_real_B_b.png,0.963745117,0.545812205,0.128073394,0.963551015,0.481872559,0.227065712,1
Portal Vein Branch,cGAN+MT2F-UNET,13_39_36608_82944_real_B_c.png,0.88319397,0.739717896,0.855049137,0.624386654,0.441596985,0.921861443,1
Portal Vein Branch,cGAN+MT2F-UNET,13_39_36608_82944_real_B_d.png,0.892578125,0.739985949,0.608975783,0.870996115,0.446289063,0.756973212,1
Portal Vein Branch,cGAN+MT2F-UNET,1_41_30976_47872_real_B_a.png,0.791992188,0.613696155,0.486437613,0.740954697,0.395996094,0.654501217,1
Portal Vein Branch,cGAN+MT2F-UNET,1_41_30976_47872_real_B_b.png,0.958053589,0.535526764,0.113225806,0.957827721,0.479026794,0.203419299,1
Portal Vein Branch,cGAN+MT2F-UNET,1_41_30976_47872_real_B_c.png,0.919265747,0.558756454,0.19990927,0.917603638,0.459632874,0.333207309,1
Portal Vein Branch,cGAN+MT2F-UNET,1_41_30976_47872_real_B_d.png,0.972335815,0.609743742,0.247405562,0.972081922,0.486167908,0.396672213,1
Portal Vein Branch,cGAN+MT2F-UNET,1_41_31488_34048_real_B_a.png,0.922439575,0.539936,0.158583016,0.921288984,0.461219788,0.273753393,1
Portal Vein Branch,cGAN+MT2F-UNET,1_41_31488_34048_real_B_b.png,0.840637207,0.616484231,0.412400135,0.820568326,0.420318604,0.583970682,1
Portal Vein Branch,cGAN+MT2F-UNET,1_41_31488_34048_real_B_c.png,0.753921509,0.592968023,0.522883938,0.663052108,0.376960754,0.686702283,1
Portal Vein Branch,cGAN+MT2F-UNET,1_41_31488_34048_real_B_d.png,0.886383057,0.673222515,0.472961495,0.873483536,0.443191528,0.642191254,1
Portal Vein Branch,cGAN+MT2F-UNET,1_41_34048_8960_real_B_a.png,0.773666382,0.630146575,0.646589312,0.613703839,0.386833191,0.785368042,1
Portal Vein Branch,cGAN+MT2F-UNET,1_41_34048_8960_real_B_b.png,0.868408203,0.466814138,0.066464603,0.867163673,0.434204102,0.124644742,1
Portal Vein Branch,cGAN+MT2F-UNET,1_41_34048_8960_real_B_c.png,0.707702637,0.537322206,0.606386258,0.468258154,0.353851318,0.754969429,1
Portal Vein Branch,cGAN+MT2F-UNET,1_41_34048_8960_real_B_d.png,0.859481812,0.718043135,0.617931378,0.818154891,0.429740906,0.76385363,1
Portal Vein Branch,cGAN+MT2F-UNET,1_41_34048_9472_real_B_a.png,0.842575073,0.658315017,0.504038073,0.81259196,0.421287537,0.670246428,1
Portal Vein Branch,cGAN+MT2F-UNET,1_41_34048_9472_real_B_b.png,0.731811523,0.571970838,0.525332181,0.618609496,0.365905762,0.688810198,1
Portal Vein Branch,cGAN+MT2F-UNET,1_41_34048_9472_real_B_c.png,0.905838013,0.558673083,0.21398548,0.903360687,0.452919006,0.352533837,1
Portal Vein Branch,cGAN+MT2F-UNET,1_41_34048_9472_real_B_d.png,0.780517578,0.579184628,0.419156841,0.739212416,0.390258789,0.590712497,1
Portal Vein Branch,cycleGAN+MT2F-CLR,13_39_33536_27648_real_B_a.png,0.744232178,0.457210928,0.186073614,0.728348243,0.372116089,0.313764022,2
Portal Vein Branch,cycleGAN+MT2F-CLR,13_39_33536_27648_real_B_b.png,0.830566406,0.707516087,0.735688272,0.679343903,0.415283203,0.847719356,2
Portal Vein Branch,cycleGAN+MT2F-CLR,13_39_33536_27648_real_B_c.png,0.91583252,0.508543441,0.102067394,0.915019489,0.45791626,0.185228951,2
